recnum;Objid;Metod;Startdag;Stoppdag;Mattid;Punkt1;Resultat1;Variation1;Enhet;Punkt2;Resultat2;Variation2;Punkt3;Resultat3;Variation3;Punkt4;Resultat4;Variation4;Punkt5;Resultat5;Variation5;Medelvarde;Variation;Fastighet;Adress1;LagenhetNr;Vaning1;Vaning2;Vaning3;Vaning4;Vaning5;Utford_av;Ort1;Postnummer1;Hustyp;Byggnadsar;Ombyggnad;Byggmaterial;Mark;Grund;Grundtat;Ventilation;Xkordinat;Ykordinat
5971;57238;SPÅRFILM MED FILTER (SSI-1);2005-12-18 00:00:00.000;2006-03-30 00:00:00.000;102 dygn;ANNAT BOUTRYMME;114.0000;20;BQ/M3 RADONGAS;ANNAT BOUTRYMME;152.0000;20;;;;;;;;;;133.0000;;BYSKE 58:19;NYCKELSTIGEN 5;;BOTTENPLAN;KÄLLARE;;;;GAMMADATA;BYSKE;930 47;VILLA;1974;;BLÅBETONG;;KÄLLARE;;SJÄLVDRAG;7215527.000000000000000;1755030.000000000000000
5972;57239;SPÅRFILM MED FILTER (SSI-1);2006-01-09 00:00:00.000;2006-04-09 00:00:00.000;90 dygn;SOVRUM;16.0000;;BQ/M3 RADONGAS;VARDAGSRUM;15.0000;;;;;;;;;;;15.0000;;BYSKE 76:18;TJÄRHOLMSGATAN 3;;;;;;;GAMMADATA;BYSKE;930 47;VILLA;1985;;OKÄNT;;KRYP-/TORPARGRU;;VÄRMEÅTERVINNING;7216135.000000000000000;1755327.000000000000000
5973;57240;SPÅRFILM MED FILTER (SSI-1);2006-01-28 00:00:00.000;2006-05-10 00:00:00.000;102 dygn;ANNAT BOUTRYMME;60.0000;20;BQ/M3 RADONGAS;ANNAT BOUTRYMME;317.0000;40;;;;;;;;;;188.0000;;BYSKE 58:36;TRAPPGATAN 14;;BOTTENPLAN;KÄLLARE;;;;GAMMADATA;BYSKE;930 47;VILLA;1968;;OKÄNT;;KÄLLARE;;SJÄLVDRAG;7215657.000000000000000;1754874.000000000000000
5974;6500;SPÅRFILM MED FILTER (SSI-1);2006-02-12 00:00:00.000;2006-04-18 00:00:00.000;65 dygn;SOVRUM;48.0000;20;BQ/M3 RADONGAS;SOVRUM;35.0000;20;;;;;;;;;;41.0000;;BYSKE 91:4;GÅRDMYRGATAN 22;;BOTTENPLAN;1 TRAPPA UPP;;;;GAMMADATA;BYSKE;930 47;VILLA;;;OKÄNT;;KRYP-/TORPARGRU;;SJÄLVDRAG;7216659.000000000000000;1755031.000000000000000
5975;57241;SPÅRFILM MED FILTER (SSI-1);2005-12-13 00:00:00.000;2006-03-13 00:00:00.000;90 dygn;ANNAT BOUTRYMME;42.0000;20;BQ/M3 RADONGAS;SOVRUM;44.0000;20;;;;;;;;;;43.0000;;BYSKE 26:1;RINGVÄGEN 47;;BOTTENPLAN;1 TRAPPA UPP;;;;GAMMADATA;BYSKE;930 47;VILLA;1922;;OKÄNT;;KRYP-/TORPARGRU;;SJÄLVDRAG;7216336.000000000000000;1755742.000000000000000
5976;57242;SPÅRFILM MED FILTER (SSI-1);2005-12-16 00:00:00.000;2006-03-18 00:00:00.000;92 dygn;SOVRUM;80.0000;20;BQ/M3 RADONGAS;ANNAT BOUTRYMME;67.0000;10;;;;;;;;;;73.0000;;STRÖMFORS 1:148;WESSLAUGATAN 10;;BOTTENPLAN;BOTTENPLAN;;;;GAMMADATA;BOLIDEN;936 32;VILLA;;;OKÄNT;;KÄLLARE;;SJÄLVDRAG;7204076.000000000000000;1717478.000000000000000
5977;57243;SPÅRFILM MED FILTER (SSI-1);2005-12-09 00:00:00.000;2006-05-31 00:00:00.000;173 dygn;ANNAT BOUTRYMME;124.0000;20;BQ/M3 RADONGAS;;;;;;;;;;;;;;;OSTVIK 7:23;SJÖBERGAVÄGEN 13;;;;;;;GAMMADATA;KÅGE;934 91;VILLA;1965;1999;OKÄNT;;KÄLLARE;;SJÄLVDRAG;7207746.000000000000000;1748805.000000000000000
5978;57244;SPÅRFILM MED FILTER (SSI-1);2005-12-10 00:00:00.000;2006-03-31 00:00:00.000;111 dygn;SOVRUM;48.0000;10;BQ/M3 RADONGAS;ANNAT BOUTRYMME;86.0000;20;;;;;;;;;;67.0000;;BYSKE 1:206;LÄGERGATAN 25;;BOTTENPLAN;KÄLLARE;;;;GAMMADATA;BYSKE;930 47;VILLA;1978;;OKÄNT;;KÄLLARE;;VÄRMEÅTERVINNING;7216249.000000000000000;1756191.000000000000000
5979;57245;SPÅRFILM MED FILTER (SSI-1);2005-12-13 00:00:00.000;2006-03-13 00:00:00.000;90 dygn;SOVRUM;72.0000;20;BQ/M3 RADONGAS;ANNAT BOUTRYMME;122.0000;20;;;;;;;;;;97.0000;;MOSSAROTTRÄSK 23:6;SKOLGATAN 5;;1 TRAPPA UPP;BOTTENPLAN;;;;GAMMADATA;JÖRN;930 55;VILLA;1962;;OKÄNT;;PLATTA PÅ MARK;;SJÄLVDRAG;7223873.000000000000000;1699370.000000000000000
5980;57246;SPÅRFILM MED FILTER (SSI-1);2005-12-27 00:00:00.000;2006-04-05 00:00:00.000;99 dygn;ANNAT BOUTRYMME;235.0000;+-30;BQ/M3 RADONGAS;SOVRUM;130.0000;+-20;;;;;;;;;;182.0000;;LÅNGNÄSTRÄSK 1:2;LÅNGNÄSTRÄSK 15;;BOTTENPLAN;1 TRAPPA UPP;;;;GAMMADATA;JÖRN;930 55;VILLA;1979;;OKÄNT;;PLATTA PÅ MARK;;;7228269.000000000000000;1701843.000000000000000
5981;57247;SPÅRFILM MED FILTER (SSI-1);2005-12-18 00:00:00.000;2006-03-29 00:00:00.000;101 dygn;SOVRUM;28.0000;10;BQ/M3 RADONGAS;ANNAT BOUTRYMME;28.0000;10;;;;;;;;;;28.0000;;BYSKE 1:229;MANTELGATAN 9;;BOTTENPLAN;BOTTENPLAN;;;;GAMMADATA;BYSKE;930 47;VILLA;1978;;OKÄNT;;PLATTA PÅ MARK;;VÄRMEÅTERVINNING;7216276.000000000000000;1756207.000000000000000
5982;57248;SPÅRFILM MED FILTER (SSI-1);2006-01-01 00:00:00.000;2006-04-02 00:00:00.000;91 dygn;SOVRUM;30.0000;10;BQ/M3 RADONGAS;ANNAT BOUTRYMME;24.0000;10;;;;;;;;;;27.0000;;FROSTKÅGE 10:52;FROSTKÅGE 216;;1 TRAPPA UPP;BOTTENPLAN;;;;GAMMADATA;KÅGE;934 92;VILLA;1940;;OKÄNT;;KÄLLARE;;SJÄLVDRAG;7206270.000000000000000;1746904.000000000000000
5983;57249;SPÅRFILM MED FILTER (SSI-1);2005-12-10 00:00:00.000;2006-03-12 00:00:00.000;92 dygn;ANNAT BOUTRYMME;103.0000;20;BQ/M3 RADONGAS;SOVRUM;102.0000;20;;;;;;;;;;102.0000;;MOSSAROTTRÄSK 1:316;STATIONSGATAN 25;;1 TRAPPA UPP;1 TRAPPA UPP;;;;GAMMADATA;JÖRN;930 55;VILLA;1977;;OKÄNT;;PLATTA PÅ MARK;;MEKANISK FRÅNLUFT;7223270.000000000000000;1699234.000000000000000
5984;57250;SPÅRFILM MED FILTER (SSI-1);2005-12-09 00:00:00.000;2006-03-13 00:00:00.000;94 dygn;SOVRUM;67.0000;20;BQ/M3 RADONGAS;ANNAT BOUTRYMME;106.0000;20;;;;;;;;;;86.0000;;BYSKE 58:3;BRUKSGATAN 12;;;KÄLLARE;;;;GAMMADATA;BYSKE;930 47;VILLA;1968;;OKÄNT;;KÄLLARE;;SJÄLVDRAG;7215822.000000000000000;1754876.000000000000000
5985;57251;SPÅRFILM MED FILTER (SSI-1);2005-12-21 00:00:00.000;2006-03-12 00:00:00.000;81 dygn;ANNAT BOUTRYMME;27.0000;10;BQ/M3 RADONGAS;ANNAT BOUTRYMME;34.0000;10;;;;;;;;;;30.0000;;MOSSAROTTRÄSK 1:282;BARRGATAN 33;;BOTTENPLAN;BOTTENPLAN;;;;GAMMADATA;JÖRN;930 55;VILLA;1975;;OKÄNT;;KRYP-/TORPARGRU;;SJÄLVDRAG;7223347.000000000000000;1699541.000000000000000
5986;57252;SPÅRFILM MED FILTER (SSI-1);2006-01-10 00:00:00.000;2006-04-10 00:00:00.000;90 dygn;SOVRUM;31.0000;10;BQ/M3 RADONGAS;ANNAT BOUTRYMME;38.0000;10;;;;;;;;;;34.0000;;MOSSAROTTRÄSK 1:308;SYRÉNGATAN 10;;BOTTENPLAN;BOTTENPLAN;;;;GAMMADATA;JÖRN;930 55;VILLA;1976;;OKÄNT;;KRYP-/TORPARGRU;;SJÄLVDRAG;7223213.000000000000000;1699574.000000000000000
5987;7062;SPÅRFILM MED FILTER (SSI-1);2005-12-15 00:00:00.000;2006-03-27 00:00:00.000;102 dygn;ANNAT BOUTRYMME;1796.0000;260;BQ/M3 RADONGAS;SOVRUM;515.0000;60;;;;;;;;;;1155.0000;;OSTVIK 9:6;OSTVIK 106;;BOTTENPLAN;1 TRAPPA UPP;;;;GAMMADATA;KÅGE;934 91;VILLA;1924;;OKÄNT;;KRYP-/TORPARGRU;;SJÄLVDRAG;7208537.000000000000000;1748183.000000000000000
