recnum;Objid;Metod;Startdag;Stoppdag;Mattid;Punkt1;Resultat1;Variation1;Enhet;Punkt2;Resultat2;Variation2;Punkt3;Resultat3;Variation3;Punkt4;Resultat4;Variation4;Punkt5;Resultat5;Variation5;Medelvarde;Variation;Fastighet;Adress1;LagenhetNr;Vaning1;Vaning2;Vaning3;Vaning4;Vaning5;Utford_av;Ort1;Postnummer1;Hustyp;Byggnadsar;Ombyggnad;Byggmaterial;Mark;Grund;Grundtat;Ventilation;Xkordinat;Ykordinat
9584;62272;SPÅRFILM MED FILTER (SSM:S MET;2008-10-08 00:00:00.000;2008-12-22 00:00:00.000;75 dygn;VARDAGSRUM;60.0000;+-15%;RADONGAS;SOVRUM 1;52.0000;+-15%;;;;;;;;;;60.0000;;STORKÅGE 96:4;OMR 330, STORGATAN 3A;1;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1965;;OKÄNT;;KÄLLARE;0;SJÄLVDRAG;;
9585;62272;SPÅRFILM MED FILTER (SSM:S MET;2008-10-08 00:00:00.000;2008-12-22 00:00:00.000;75 dygn;VARDAGSRUM;61.0000;+-15%;RADONGAS;SOVRUM;63.0000;+-15%;;;;;;;;;;60.0000;;STORKÅGE 96:4;OMR 330, STORGATAN 3B;6;5;5;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1965;;OKÄNT;;KÄLLARE;0;SJÄLVDRAG;;
9586;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-16 00:00:00.000;70 dygn;SOVRUM;39.0000;+-15%;RADONGAS;KÖK;34.0000;+-15%;;;;;;;;;;40.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 35;1;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9587;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-16 00:00:00.000;70 dygn;SOVRUM 1;72.0000;+-15%;RADONGAS;VARDAGSRUM;48.0000;+-15%;;;;;;;;;;60.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 39;4;1;1;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9588;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-16 00:00:00.000;70 dygn;VARDAGSRUM;107.0000;+-15%;RADONGAS;SOVRUM;94.0000;+-15%;;;;;;;;;;100.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 41;5;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9589;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-08 00:00:00.000;2008-12-16 00:00:00.000;69 dygn;SOVRUM;30.0000;+-15%;RADONGAS;VARDAGSRUM;33.0000;+-15%;;;;;;;;;;30.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 43;6;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9590;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-17 00:00:00.000;71 dygn;VARDAGSRUM;93.0000;+-15%;RADONGAS;SOVRUM;91.0000;+-15%;;;;;;;;;;90.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 49;8;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9591;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-08 00:00:00.000;2008-12-16 00:00:00.000;69 dygn;SOVRUM;132.0000;+-15%;RADONGAS;VARDAGSRUM;144.0000;+-15%;;;;;;;;;;140.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 51;9;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9592;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-08 00:00:00.000;2008-12-17 00:00:00.000;70 dygn;SOVRUM;63.0000;+-15%;RADONGAS;VARDAGSRUM;66.0000;+-15%;;;;;;;;;;60.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 61;14;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9593;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-08 00:00:00.000;2008-12-17 00:00:00.000;70 dygn;SOVRUM;67.0000;+-15%;RADONGAS;VARDAGSRUM;84.0000;+-15%;;;;;;;;;;80.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 63;15;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9594;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-08 00:00:00.000;2008-12-17 00:00:00.000;70 dygn;VARDAGSRUM;63.0000;+-15%;RADONGAS;SOVRUM 1;62.0000;+-15%;;;;;;;;;;60.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 67;17;1;1;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9595;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-08 00:00:00.000;2008-12-17 00:00:00.000;70 dygn;VARDAGSRUM;106.0000;+-15%;RADONGAS;SOVRUM;92.0000;+-15%;;;;;;;;;;100.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 69;18;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9596;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-09 00:00:00.000;2008-12-18 00:00:00.000;70 dygn;SOVRUM;72.0000;+-15%;RADONGAS;VARDAGSRUM;78.0000;+-15%;;;;;;;;;;70.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 71;19;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9597;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-18 00:00:00.000;72 dygn;SOVRUM;32.0000;+-15%;RADONGAS;VARDAGSRUM;81.0000;+-15%;;;;;;;;;;60.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 75;21;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9598;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-08 00:00:00.000;2008-12-17 00:00:00.000;70 dygn;VARDAGSRUM;30.0000;+-15%;RADONGAS;SOVRUM;30.0000;+-15%;;;;;;;;;;30.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 77;22;1;1;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9599;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-08 00:00:00.000;2008-12-17 00:00:00.000;70 dygn;VARDAGSRUM;30.0000;+-15%;RADONGAS;SOVRUM;30.0000;+-15%;;;;;;;;;;30.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 81;24;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9600;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-18 00:00:00.000;72 dygn;VARDAGSRUM;53.0000;+-15%;RADONGAS;SOVRUM;53.0000;+-15%;;;;;;;;;;50.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 83;25;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9601;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-18 00:00:00.000;72 dygn;VARDAGSRUM;47.0000;+-15%;RADONGAS;SOVRUM 2;55.0000;+-15%;;;;;;;;;;50.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 87;27;1;1;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9602;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-18 00:00:00.000;72 dygn;VARDAGSRUM;42.0000;+-15%;RADONGAS;SOVRUM;39.0000;+-15%;;;;;;;;;;40.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 97;32;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9603;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-09 00:00:00.000;2008-12-17 00:00:00.000;69 dygn;VARDAGSRUM;30.0000;+-15%;RADONGAS;SOVRUM;30.0000;+-15%;;;;;;;;;;30.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 109;38;1;1;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9604;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-08 00:00:00.000;2008-12-17 00:00:00.000;70 dygn;SOVRUM;43.0000;+-15%;RADONGAS;VARDAGSRUM;60.0000;+-15%;;;;;;;;;;50.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 113;40;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9605;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-08 00:00:00.000;2008-12-17 00:00:00.000;70 dygn;SOVRUM;96.0000;+-15%;RADONGAS;VARDAGSRUM;116.0000;+-15%;;;;;;;;;;110.0000;;STORKÅGE 21:19;OMR 321, BYALAGSGATAN 115;41;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9606;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-06 00:00:00.000;2008-12-11 00:00:00.000;66 dygn;SOVRUM;105.0000;+-15%;RADONGAS;VARDAGSRUM;81.0000;+-15%;;;;;;;;;;90.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 114;55;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9607;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-06 00:00:00.000;2008-12-16 00:00:00.000;71 dygn;SOVRUM;57.0000;+-15%;RADONGAS;VARDAGSRUM;55.0000;+-15%;;;;;;;;;;60.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 118;57;1;1;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9608;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-06 00:00:00.000;2008-12-16 00:00:00.000;71 dygn;VARDAGSRUM;457.0000;+-15%;RADONGAS;SOVRUM;499.0000;+-15%;;;;;;;;;;480.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 120;58;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9609;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-06 00:00:00.000;2008-12-16 00:00:00.000;71 dygn;VARDAGSRUM;338.0000;+-15%;RADONGAS;SOVRUM;331.0000;+-15%;;;;;;;;;;330.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 122;59;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9610;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-06 00:00:00.000;2008-12-16 00:00:00.000;71 dygn;SOVRUM;270.0000;+-15%;RADONGAS;VARDAGSRUM;323.0000;+-15%;;;;;;;;;;300.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 128;62;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9611;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-09 00:00:00.000;2008-12-17 00:00:00.000;69 dygn;SOVRUM;30.0000;+-15%;RADONGAS;VARDAGSRUM;30.0000;+-15%;;;;;;;;;;30.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 130;63;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9612;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-06 00:00:00.000;2008-12-16 00:00:00.000;71 dygn;SOVRUM;30.0000;+-15%;RADONGAS;VARDAGSRUM;30.0000;+-15%;;;;;;;;;;30.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 132;64;1;1;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9613;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-06 00:00:00.000;2008-12-16 00:00:00.000;71 dygn;SOVRUM;42.0000;+-15%;RADONGAS;VARDAGSRUM;48.0000;+-15%;;;;;;;;;;50.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 136;66;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9614;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-09 00:00:00.000;2008-12-11 00:00:00.000;63 dygn;VARDAGSRUM;57.0000;+-15%;RADONGAS;;;;;;;;;;;;;;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 138;67;0;;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9615;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-06 00:00:00.000;2008-12-11 00:00:00.000;66 dygn;VARDAGSRUM;70.0000;+-15%;RADONGAS;SOVRUM;59.0000;+-15%;;;;;;;;;;60.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 142;69;1;1;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9616;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-06 00:00:00.000;2008-12-11 00:00:00.000;66 dygn;VARDAGSRUM;53.0000;+-15%;RADONGAS;SOVRUM;63.0000;+-15%;;;;;;;;;;60.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 144;70;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9617;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-11 00:00:00.000;65 dygn;VARDAGSRUM;135.0000;+-15%;RADONGAS;SOVRUM;125.0000;+-15%;;;;;;;;;;130.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 152;74;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9618;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-11 00:00:00.000;65 dygn;SOVRUM;198.0000;+-15%;RADONGAS;VARDAGSRUM;177.0000;+-15%;;;;;;;;;;190.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 154;75;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9619;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-11 00:00:00.000;65 dygn;VARDAGSRUM;133.0000;+-15%;RADONGAS;SOVRUM 1;125.0000;+-15%;;;;;;;;;;130.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 156;76;1;1;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9620;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-17 00:00:00.000;71 dygn;SOVRUM;30.0000;+-15%;RADONGAS;VARDAGSRUM;30.0000;+-15%;;;;;;;;;;30.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 162;79;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9621;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-17 00:00:00.000;71 dygn;VARDAGSRUM;30.0000;+-15%;RADONGAS;SOVRUM;30.0000;+-15%;;;;;;;;;;30.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 164;80;1;1;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9622;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-17 00:00:00.000;71 dygn;VARDAGSRUM;54.0000;+-15%;RADONGAS;SOVRUM;66.0000;+-15%;;;;;;;;;;60.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 168;82;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9623;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-17 00:00:00.000;71 dygn;VARDAGSRUM;103.0000;+-15%;RADONGAS;SOVRUM;88.0000;+-15%;;;;;;;;;;;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 176;86;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9624;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-17 00:00:00.000;71 dygn;(SOVRUM);45.0000;+-15%;RADONGAS;(VARDAGSRUM);39.0000;+-15%;;;;;;;;;;;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 178;87;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9625;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-17 00:00:00.000;71 dygn;VARDAGSRUM;69.0000;+-15%;RADONGAS;SOVRUM;186.0000;+-15%;;;;;;;;;;130.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 184;90;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9626;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-06 00:00:00.000;2008-12-10 00:00:00.000;65 dygn;VARDAGSRUM;80.0000;+-15%;RADONGAS;SOVRUM;73.0000;+-15%;;;;;;;;;;80.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 64;91;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9627;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-06 00:00:00.000;2008-12-10 00:00:00.000;65 dygn;SOVRUM;61.0000;+-15%;RADONGAS;VARDAGSRUM;73.0000;+-15%;;;;;;;;;;70.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 68;93;1;1;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9628;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-06 00:00:00.000;2008-12-10 00:00:00.000;65 dygn;SOVRUM;590.0000;+-15%;RADONGAS;VARDAGSRUM;720.0000;+-15%;;;;;;;;;;650.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 70;94;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9629;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-06 00:00:00.000;2008-12-10 00:00:00.000;65 dygn;VARDAGSRUM;563.0000;+-15%;RADONGAS;SOVRUM;581.0000;+-15%;;;;;;;;;;570.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 72;95;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9630;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-06 00:00:00.000;2008-12-10 00:00:00.000;65 dygn;VARDAGSRUM;493.0000;+-15%;RADONGAS;SOVRUM;465.0000;+-15%;;;;;;;;;;480.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 78;98;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9631;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-06 00:00:00.000;2008-12-11 00:00:00.000;66 dygn;SOVRUM;49.0000;+-15%;RADONGAS;VARDAGSRUM;44.0000;+-15%;;;;;;;;;;50.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 80;99;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9632;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-06 00:00:00.000;2008-12-10 00:00:00.000;65 dygn;SOVRUM;375.0000;+-15%;RADONGAS;VARDAGSRUM;300.0000;+-15%;;;;;;;;;;340.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 86;102;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9633;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-18 00:00:00.000;72 dygn;SOVRUM;261.0000;+-15%;RADONGAS;KÖK;158.0000;+-15%;;;;;;;;;;210.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 88;103;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9634;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-18 00:00:00.000;72 dygn;VARDAGSRUM;30.0000;+-15%;RADONGAS;SOVRUM;39.0000;+-15%;;;;;;;;;;30.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 94;106;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9635;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-18 00:00:00.000;72 dygn;VARDAGSRUM;205.0000;+-15%;RADONGAS;SOVRUM;153.0000;+-15%;;;;;;;;;;180.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 102;110;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9636;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-18 00:00:00.000;72 dygn;VARDAGSRUM;161.0000;+-15%;RADONGAS;SOVRUM;141.0000;+-15%;;;;;;;;;;150.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 104;111;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9637;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-18 00:00:00.000;72 dygn;VARDAGSRUM;118.0000;+-15%;RADONGAS;SOVRUM 1;115.0000;+-15%;;;;;;;;;;120.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 106;112;1;1;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9638;62270;SPÅRFILM MED FILTER (SSM:S MET;2008-10-07 00:00:00.000;2008-12-18 00:00:00.000;72 dygn;VARDAGSRUM;86.0000;+-15%;RADONGAS;SOVRUM;79.0000;+-15%;;;;;;;;;;80.0000;;STORKÅGE 21:19;OMR 321, BRÄNNSVEDJEV 110;114;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1980;;OKÄNT;;PLATTA PÅ MARK;0;MEKANISK FRÅNLUFT;;
9639;62266;SPÅRFILM MED FILTER (SSM:S MET;2008-10-23 00:00:00.000;2008-12-30 00:00:00.000;68 dygn;VARDAGSRUM;46.0000;+-15%;RADONGAS;SOVRUM;45.0000;+-15%;;;;;;;;;;50.0000;;STORKÅGE 29:1;OMR 311, SKOLGATAN 12;2;0;0;;;;PASELA MILJÖSUPPORT AB;;;FLERBOSTADSHUS;1960;;OKÄNT;;KÄLLARE;0;MEKANISK FRÅNLUFT;;
